time	charge	power
632	-nan(ind)	-nan(ind)
633	-nan(ind)	-nan(ind)
634	-nan(ind)	-nan(ind)
635	-nan(ind)	-nan(ind)
636	-nan(ind)	-nan(ind)
637	-nan(ind)	-nan(ind)
638	-nan(ind)	-nan(ind)
639	-nan(ind)	-nan(ind)
640	-nan(ind)	-nan(ind)
641	-nan(ind)	-nan(ind)
642	-nan(ind)	-nan(ind)
643	-nan(ind)	-nan(ind)
644	-nan(ind)	-nan(ind)
645	-nan(ind)	-nan(ind)
646	-nan(ind)	-nan(ind)
647	-nan(ind)	-nan(ind)
648	-nan(ind)	-nan(ind)
649	-nan(ind)	-nan(ind)
650	-nan(ind)	-nan(ind)
651	-nan(ind)	-nan(ind)
652	-nan(ind)	-nan(ind)
653	-nan(ind)	-nan(ind)
654	-nan(ind)	-nan(ind)
655	-nan(ind)	-nan(ind)
656	-nan(ind)	-nan(ind)
657	-nan(ind)	-nan(ind)
658	-nan(ind)	-nan(ind)
659	-nan(ind)	-nan(ind)
660	-nan(ind)	-nan(ind)
661	-nan(ind)	-nan(ind)
662	-nan(ind)	-nan(ind)
663	-nan(ind)	-nan(ind)
664	-nan(ind)	-nan(ind)
665	-nan(ind)	-nan(ind)
666	-nan(ind)	-nan(ind)
667	-nan(ind)	-nan(ind)
668	-nan(ind)	-nan(ind)
669	-nan(ind)	-nan(ind)
670	-nan(ind)	-nan(ind)
671	-nan(ind)	-nan(ind)
672	-nan(ind)	-nan(ind)
673	-nan(ind)	-nan(ind)
674	-nan(ind)	-nan(ind)
675	-nan(ind)	-nan(ind)
676	-nan(ind)	-nan(ind)
677	-nan(ind)	-nan(ind)
678	-nan(ind)	-nan(ind)
679	-nan(ind)	-nan(ind)
680	-nan(ind)	-nan(ind)
681	-nan(ind)	-nan(ind)
682	-nan(ind)	-nan(ind)
683	-nan(ind)	-nan(ind)
684	-nan(ind)	-nan(ind)
685	-nan(ind)	-nan(ind)
686	-nan(ind)	-nan(ind)
